s,p,q
-25,9.3416405909925e-06,1.05329339942611e-05
-24,2.00585661404874e-05,2.27039570451934e-05
-23,4.13385150390117e-05,4.68958877998893e-05
-22,8.17981933999277e-05,9.28344417833692e-05
-21,0.00015546987469548,0.000176156886314949
-20,0.000283968851890086,0.000320479036562452
-19,0.00049872201914152,0.000559146146717388
-18,0.000842733162735303,0.000935882103318545
-17,0.00137116867219424,0.0015033707416868
-16,0.00215000099413773,0.00231889812894082
-15,0.00325214895753512,0.00343669522389881
-14,0.00475104374008655,0.00489756087392177
-13,0.00671224676319815,0.00671752186563842
-12,0.00918443505209537,0.00887829517259586
-11,0.0121914538005543,0.0113226636872926
-10,0.0157269659850536,0.0139572010614048
-9,0.0197524571399454,0.0166630839718847
-8,0.024198226678879,0.0193134594964864
-7,0.028966008762975,0.0217937521592848
-6,0.0339315467557562,0.0240201539697063
-5,0.038946073817232,0.0259517538492966
-4,0.0438370369307671,0.0275932415539589
-3,0.0484098932142716,0.0289873754335111
-2,0.0524535814683806,0.0301988073596814
-1,0.0557517642190048,0.0312928868520674
0,0.0581001867776778,0.0323143639563367
1,0.0593281900209569,0.0332712225093732
2,0.0593205353639552,0.0341280071540587
3,0.0580350483343393,0.0348109293169487
4,0.0555123644916574,0.0352240823452843
5,0.0518758355396765,0.0352730383972026
6,0.0473216635052283,0.0348899435830903
7,0.0421009264783459,0.0340537572753728
8,0.0364960858039557,0.0328006480855287
9,0.0307949443328569,0.031222201352665
10,0.0252651110005373,0.0294520557295896
11,0.0201319426997996,0.0276440152577161
12,0.0155625946197932,0.0259461561471483
13,0.0116580466078213,0.0244759569878574
14,0.00845374345012286,0.0233011720333546
15,0.00592799679124344,0.0224301097834244
16,0.0040159455581494,0.0218131848460947
17,0.00262606769470072,0.0213552483970834
18,0.00165619790919045,0.0209357713684326
19,0.00100667366916856,0.0204321995861884
20,0.000589315150304043,0.019741362687775
21,0.000332069728936411,0.0187948558011182
22,0.000180011314410571,0.0175663652008399
23,9.38314568019464e-05,0.0160711286501222
24,4.70094874629243e-05,0.0143593179923395
25,2.26276824251728e-05,0.0125057505468979
