s,p,q
-25,1.20915133093028e-05,6.98534589228469e-06
-24,2.52731605207335e-05,1.50164940433634e-05
-23,5.06909857664687e-05,3.09833738443247e-05
-22,9.76186594255374e-05,6.13914051475736e-05
-21,0.000180617743214043,0.000116894350620622
-20,0.000321346967514185,0.000214057739584348
-19,0.000550315189607125,0.000377334129035837
-18,0.000908228513913069,0.000640989522484978
-17,0.00144656917415388,0.00105061393288028
-16,0.00222714575968017,0.00166379832156944
-15,0.0033205434132262,0.00254958013341744
-14,0.00480357278527116,0.00378632369432806
-13,0.0067558160636708,0.00545774770165275
-12,0.00925509166393218,0.00764678840844892
-11,0.0123711635591196,0.0104269248470298
-10,0.0161565922721569,0.0138506537795626
-9,0.0206337088212693,0.0179352434044813
-8,0.025777678205403,0.0226469150258651
-7,0.0314975453493886,0.0278861271660762
-6,0.0376195250684329,0.0334781752876639
-5,0.0438786365638219,0.0391740345424614
-4,0.0499250046949338,0.0446654212109144
-3,0.0553490636457121,0.0496150813886429
-2,0.0597256241339962,0.0536988636291608
-1,0.0626713324436361,0.0566516165271568
0,0.0639051110331189,0.0583062130719084
1,0.0632984505918622,0.0586155067355549
2,0.0609031172380136,0.0576511067866373
3,0.0569481663005813,0.0555794072477958
4,0.0518051992227104,0.0526220651931917
5,0.0459286846122849,0.0490125831063932
6,0.0397845534555839,0.0449610822190525
7,0.0337831196600351,0.0406355988482726
8,0.0282306599352083,0.0361618111140422
9,0.0233082135980485,0.0316365745520294
10,0.0190782617446539,0.0271465202291171
11,0.0155125796288439,0.0227826272526622
12,0.012530084970197,0.0186448424415224
13,0.0100330660972408,0.0148357927842787
14,0.007933322111074,0.0114471930559723
15,0.00616479820180348,0.00854495533653216
16,0.00468416668981922,0.00615869060323288
17,0.00346389072870799,0.00427889901697695
18,0.00248303299590884,0.0028620231849224
19,0.00171986680968828,0.00184102063498037
20,0.00114822516256925,0.00113796653891851
21,0.000737520946920721,0.000675463727635954
22,0.000455140569326314,0.000384815296412337
23,0.000269595282410447,0.000210330943405072
24,0.000153167640645451,0.00011025892751035
25,8.3423847377318e-05,5.54206472268327e-05
