s,p,q
-25,1.19804958539471e-05,0.00867799997467252
-24,2.53110778829698e-05,0.00987764818191352
-23,5.13401485897909e-05,0.0108795676564129
-22,0.000100029389661945,0.0116055304420782
-21,0.000187315506331114,0.011998564433487
-20,0.000337357886441954,0.0120304079087353
-19,0.000584822206967104,0.011706172162572
-18,0.00097672440437457,0.0110659902571869
-17,0.00157323328304368,0.0101835172568028
-16,0.00244683532846662,0.00916113163360584
-15,0.00367944576940712,0.00812175871605462
-14,0.00535738010793937,0.00719749558843706
-13,0.00756447218727917,0.00651563241327681
-12,0.0103738830464,0.00618314756852229
-11,0.0138391689893058,0.00627125006454637
-10,0.0179849746273293,0.00680205020498368
-9,0.0227974634472463,0.00773990980397806
-8,0.028214582033348,0.00899024186207344
-7,0.0341167177269581,0.0104081154099856
-6,0.0403192702353883,0.0118176181753494
-5,0.0465698035555457,0.0130405101642331
-4,0.0525531943703567,0.0139297793449616
-3,0.0579079212573161,0.014401274252045
-2,0.0622549771600697,0.0144557162573844
-1,0.0652379641602375,0.0141847346014776
0,0.0665694296433915,0.0137579683853596
1,0.0660755022809539,0.013392795684892
2,0.0637295063479571,0.0133125260979432
3,0.0596662317013478,0.0137017149283677
4,0.0541719807218764,0.0146679686150472
5,0.0476506621229016,0.0162182182051172
6,0.0405716752249008,0.0182544292839123
7,0.0334095334524373,0.0205897863867905
8,0.0265868502288621,0.0229822508487046
9,0.0204309813019537,0.0251787413110023
10,0.0151507768071774,0.026960732964296
11,0.0108348089780141,0.0281814749345694
12,0.00746766346062129,0.0287866961188274
13,0.00495769803638408,0.0288144992307628
14,0.00316868814650078,0.0283753320753404
15,0.00194882109030676,0.027618078359435
16,0.00115282223993944,0.0266918341232084
17,0.000655647778340317,0.0257136261316886
18,0.000358369457763945,0.0247498999111385
19,0.000188187733890782,0.023814894205011
20,9.49100164026735e-05,0.0228837121851678
21,4.5958473723404e-05,0.021913860965101
22,2.13616844406395e-05,0.0208675215394356
23,9.52830499410157e-06,0.0197279944300586
24,4.07764673878907e-06,0.0185067475577875
25,1.67390106833403e-06,0.0172408616942887
