s,p,q
-25,0.000262315420366757,0.0066741106386413
-24,0.000465426228309319,0.00656987321466617
-23,0.000793635149199695,0.00671679258522986
-22,0.00130127065522442,0.00701008939538297
-21,0.00205290594817219,0.00734345782495462
-20,0.00311857899624138,0.00763617257226432
-19,0.00456590162641531,0.00785421379001855
-18,0.00644985301027938,0.0080208908754333
-17,0.00880206284866374,0.00821418712206014
-16,0.011622081218422,0.00855056829062906
-15,0.0148730928730388,0.00915792818716387
-14,0.0184835588019486,0.0101431079623905
-13,0.0223545426562155,0.0115613644066964
-12,0.0263706044034778,0.0133956617658792
-11,0.0304109289034284,0.0155522795733942
-10,0.0343574461337124,0.0178758600842947
-9,0.0380981962695631,0.0201820921545387
-8,0.0415265160259528,0.0223008353824122
-7,0.0445387165817797,0.0241182677586959
-6,0.0470337530334153,0.0256053127576514
-5,0.0489174716871071,0.0268222518367834
-4,0.0501117193596052,0.0278958460502084
-3,0.0505659526222016,0.0289737611407563
-2,0.050267232792987,0.0301688452070653
-1,0.0492444802313365,0.0315100238764389
0,0.0475646600235123,0.0329155105066969
1,0.0453214622179293,0.0341977681057889
2,0.0426198410162838,0.0351001647721896
3,0.0395613378403274,0.035355664072332
4,0.0362347748910203,0.0347513441891004
5,0.0327147680768999,0.0331811094070618
6,0.0290674050820131,0.0306729252194141
7,0.0253596183728045,0.0273847454177491
8,0.0216674127789771,0.023572286863738
9,0.0180787405076685,0.0195390476846058
10,0.0146891472517496,0.0155823977016935
11,0.0115913073399966,0.0119486131396801
12,0.00886194782897059,0.00880531455815936
13,0.00655050696107523,0.00623381948678989
14,0.00467300033608,0.00423852206731467
15,0.00321254021358517,0.00276704646478197
16,0.00212572177123091,0.00173408286522736
17,0.00135251722725716,0.00104306773770318
18,0.00082682783312771,0.000602239150762827
19,0.000485343869876613,0.000334057893801532
20,0.000273418760959506,0.000178821668002339
21,0.000147767286618573,9.42417035341698e-05
22,7.65882474878166e-05,5.28973121904312e-05
23,3.80601707736814e-05,3.91232096341242e-05
24,1.81308174352086e-05,4.63207535450412e-05
25,8.27814448903613e-06,7.51291827432514e-05
