s,p,q
-25,2.99216727004731e-06,0.000319508442554908
-24,6.97178082063078e-06,0.000536593685635826
-23,1.55721562405463e-05,0.000867229075299004
-22,3.33510457776145e-05,0.00135060007480789
-21,6.85104564512486e-05,0.00203015339862827
-20,0.000135035716124064,0.0029510591371138
-19,0.000255489918453848,0.00415759737313153
-18,0.00046425576210234,0.00569116666712069
-17,0.000810709894918627,0.00758927363131626
-16,0.00136147678814439,0.00988512390753226
-15,0.00220066016202696,0.0126065525812271
-14,0.00342693909844712,0.0157724650445806
-13,0.00514675608732232,0.0193851733195407
-12,0.00746351480911969,0.0234182198378634
-11,0.0104635902073412,0.0278012562148644
-10,0.0142007593873543,0.0324056472308744
-9,0.0186811252488314,0.0370358757460775
-8,0.0238506228624685,0.0414318572702373
-7,0.0295869017058801,0.0452856672243071
-6,0.0356970385674877,0.0482731655041403
-5,0.0419223473662147,0.0500972116791906
-4,0.0479514105236804,0.0505355042683752
-3,0.0534419576634409,0.0494835551668169
-2,0.0580509296957447,0.0469828347969294
-1,0.0614699476954727,0.0432262284041419
0,0.0634610617720524,0.0385374762382199
1,0.0638861786359605,0.033327227730392
2,0.0627239681331581,0.0280340518079966
3,0.0600705967366844,0.0230624326136519
4,0.0561245547905796,0.0187302656166394
5,0.0511596267266341,0.0152355737137836
6,0.0454922353518654,0.0126471028683643
7,0.0394493218223494,0.0109177633338803
8,0.0333410511501367,0.00991512968596663
9,0.0274401531310012,0.0094604151485164
10,0.0219678228130574,0.00936680559521286
11,0.0170853857401347,0.00946953914814312
12,0.0128911529171583,0.00964309317361538
13,0.00942234421682017,0.00980455941509293
14,0.00666200443339082,0.00990589073692389
15,0.00455028047271255,0.00992028645740699
16,0.00299856127980753,0.0098288179595484
17,0.00190431166342068,0.00961223093906926
18,0.00116434123659473,0.0092501304363158
19,0.000684799992658963,0.00872650508583015
20,0.000387138424307824,0.00803803757996374
21,0.000210239583292082,0.00720080828701722
22,0.000109617041731239,0.00625201682304837
23,5.48484165529538e-05,0.00524561814738309
24,2.63276127155786e-05,0.00424322747985129
25,1.21195400982185e-05,0.00330328160885531
