s,p,q
-25,2.50339285494414e-05,0.000433797534445657
-24,5.09173332166743e-05,0.00069608340781848
-23,9.95094402127322e-05,0.00107074168796556
-22,0.000186968974102699,0.00157961349863247
-21,0.000337952545507414,0.00223626853743642
-20,0.000588066907689251,0.00304063000484812
-19,0.000985858911556663,0.00397516969280988
-18,0.00159359180760176,0.00500439071129609
-17,0.00248594262206589,0.00607870396429341
-16,0.00374582409996579,0.00714254303845482
-15,0.0054568397384084,0.00814502693452041
-14,0.00769242419932454,0.00905029782072225
-13,0.0105024492231577,0.00984444152223221
-12,0.0138988846648115,0.0105369042114651
-11,0.0178428572095229,0.011156256622472
-10,0.0222359736790286,0.0117422423915358
-9,0.0269188632897875,0.0123373466691874
-8,0.031679319990386,0.0129810121320343
-7,0.0362710282878777,0.0137081255808159
-6,0.04044165954784,0.0145511603655804
-5,0.0439664742480497,0.0155433882185684
-4,0.0466811532205478,0.0167197531562243
-3,0.0485063115079731,0.0181127267148104
-2,0.0494568224946527,0.0197425104137615
-1,0.0496320111167797,0.0216035766029123
0,0.0491875079364878,0.0236517580873746
1,0.0482948470872138,0.0257970112801314
2,0.0470990249869681,0.0279060858788435
3,0.0456856132378519,0.0298167552697631
4,0.0440668123772922,0.0313617733953581
5,0.0421904443760837,0.0323975331157633
6,0.0399689441883317,0.0328306781927626
7,0.0373192659457954,0.0326362835735113
8,0.0342014299262504,0.0318634508152992
9,0.030644304493608,0.0306273557302844
10,0.0267517233405546,0.0290898143465577
11,0.0226884315024037,0.0274325093995449
12,0.0186513072375333,0.025827931985262
13,0.014834875347975,0.0244130680661031
14,0.0114004564351174,0.023270198299769
15,0.0084557974073904,0.0224179958428869
16,0.00604801534490612,0.0218143643569576
17,0.00416872120263993,0.0213702356686085
18,0.00276746591460885,0.0209712542577802
19,0.00176866373487088,0.0205025955017421
20,0.00108770458949214,0.0198717078837295
21,0.000643451564551943,0.0190246979391351
22,0.00036602340928578,0.0179539721223939
23,0.000200146578554353,0.0166968425954476
24,0.000105171867416143,0.0153264101996501
25,5.30928027103571e-05,0.0139369036808909
