s,p,q
-25,1.60329138326636e-07,7.84793536267618e-06
-24,4.30477514251287e-07,1.71046767521663e-05
-23,1.10878101224829e-06,3.58184933424488e-05
-22,2.74028456718847e-06,7.20979787649721e-05
-21,6.49991502086124e-06,0.000139562468843331
-20,1.48013036667866e-05,0.000259935581333183
-19,3.23669182412479e-05,0.000466068875932265
-18,6.79909427830732e-05,0.000804951403468461
-17,0.000137245502266628,0.00133993046432355
-16,0.000266317799287853,0.0021510636697554
-15,0.000496960591508873,0.00333237012723243
-14,0.000892139658641892,0.00498489556364685
-13,0.00154136090883697,0.00720506740491976
-12,0.00256393290748554,0.0100688114051632
-11,0.00410776109731197,0.0136132009312985
-10,0.00634098502452787,0.0178187127518438
-9,0.00943422017414404,0.0225960417244125
-8,0.0135326404965817,0.0277814455067767
-7,0.0187196852109223,0.0331434791035229
-6,0.0249774463849207,0.0384018011383413
-5,0.0321519840082532,0.0432559612623065
-4,0.0399337620035459,0.0474194993425192
-3,0.0478629065366408,0.0506531422959849
-2,0.0553653091805957,0.0527909262503187
-1,0.0618189222858096,0.0537547161187814
0,0.0666413147637483,0.0535553055834877
1,0.0693820825789465,0.0522812073606709
2,0.0697997583995404,0.0500785811364559
3,0.0679044210889367,0.0471270148081573
4,0.0639545485148452,0.0436159867301886
5,0.0584079706199948,0.0397259770301534
6,0.0518386194673869,0.0356166547292455
7,0.0448392933297961,0.0314226643839379
8,0.037933093324845,0.0272556473581131
9,0.0315119635825973,0.0232097107734656
10,0.0258116354941362,0.019367033609989
11,0.0209215863723237,0.015800881331952
12,0.0168199275522638,0.0125747941832523
13,0.0134188706285306,0.00973853677504946
14,0.0106071495116402,0.00732281394803406
15,0.00828027499624295,0.00533523060884729
16,0.00635550518292944,0.00375940483091843
17,0.00477365099443777,0.00255789154519347
18,0.0034928355351525,0.00167823385380518
19,0.00247977535831463,0.00106056094322415
20,0.00170270516379102,0.000644942676666538
21,0.00112783703249886,0.000377112111836714
22,0.000719254054674646,0.000211887662842985
23,0.000440971069832316,0.000114340085914687
24,0.000259632167175623,5.92327078036653e-05
25,0.00014668370793822,2.94469616498341e-05
