s,p,q
-25,2.83546555140268e-05,0.011075232172206
-24,5.66490317670367e-05,0.0133433319776244
-23,0.000108646771443482,0.0156764228595175
-22,0.000200134921682277,0.0179614940672673
-21,0.00035430629849726,0.0200599149759698
-20,0.000603256674416616,0.0218149056122292
-19,0.000988702156107911,0.0230668104481341
-18,0.00156136065241702,0.0236755312861763
-17,0.00237857124138761,0.0235462229391102
-16,0.00350005284911986,0.0226517698137416
-15,0.00498217132808376,0.021045045545931
-14,0.00687154904816622,0.0188561229734022
-13,0.00919913094102557,0.0162738546240826
-12,0.0119757744632514,0.0135159932792311
-11,0.0151900349823982,0.0107954157819038
-10,0.0188081916936521,0.00829080410397104
-9,0.0227759163107049,0.00612821449532999
-8,0.0270205452543701,0.00437629571746424
-7,0.0314528204293207,0.00305399256648239
-6,0.0359672626595697,0.00214669863469615
-5,0.0404410071506451,0.00162563440601736
-4,0.044731863156799,0.00146559747744808
-3,0.048677352579175,0.00165755117696405
-2,0.0520971763467912,0.00221410344957189
-1,0.0548014989380372,0.00316733934196761
0,0.0566062897938874,0.0045596026459426
1,0.0573547785817252,0.00642879050346385
2,0.056941501591551,0.00879065526945315
3,0.0553334894172139,0.0116214677323945
4,0.0525828648351719,0.0148449491349728
5,0.0488268621256677,0.0183272816013618
6,0.0442745191667978,0.0218829797966608
7,0.039182804084512,0.0252924122459657
8,0.0338273920010188,0.0283290932575586
9,0.0284739256491616,0.030792132957338
10,0.0233544597580067,0.0325372205341789
11,0.0186516772631558,0.0334989740978915
12,0.0144913418579755,0.0336988734688441
13,0.0109419831612874,0.0332362225319403
14,0.00802015270645338,0.0322639390408861
15,0.00569949993580089,0.0309551693943366
16,0.00392204821752771,0.0294693300441485
17,0.00261018580642655,0.0279261368320794
18,0.00167801064525451,0.0263933698393724
19,0.00104087767527255,0.0248895142051175
20,0.000622365363163483,0.023397775393472
21,0.000358374201958922,0.0218850667121382
22,0.000198575113323164,0.0203193732157557
23,0.000105804774700386,0.0186811230226135
24,5.417698948901e-05,0.0169675129604375
25,2.66457241590907e-05,0.0151915073493287
