s,p,q
-25,1.07630643935656e-06,0.00156361317446655
-24,2.59015314063718e-06,0.00107636978016247
-23,5.98526673661103e-06,0.000722785668058855
-22,1.32861019736001e-05,0.000491693602998858
-21,2.8345060805253e-05,0.000371581873007237
-20,5.8150759211439e-05,0.000357237317581082
-19,0.000114785308956343,0.000454488302596841
-18,0.000218145214914698,0.000682545791658839
-17,0.000399417522020959,0.00107350466869467
-16,0.000705079288410111,0.00166859079033491
-15,0.00120086371145852,0.00251100886678747
-14,0.00197474475447245,0.00363598443725235
-13,0.00313761236806145,0.00505978710809334
-12,0.0048200639872047,0.00677081892488071
-11,0.00716377579878374,0.00872659880360107
-10,0.0103063900468704,0.010859949974822
-9,0.0143598657087282,0.0130954875298951
-8,0.0193837809428016,0.0153738640598262
-7,0.025356957848743,0.0176772303040167
-6,0.0321525917978285,0.0200466354949803
-5,0.0395232079178741,0.0225822054751313
-4,0.0471015925666372,0.0254206612554107
-3,0.0544219217847531,0.0286914920020813
-2,0.0609616726233492,0.032460922801562
-1,0.0662002231085812,0.0366789845031595
0,0.0696855198470489,0.0411469713105896
1,0.0710971925949073,0.0455190437441766
2,0.0702940807486106,0.0493432170239059
3,0.0673366369869095,0.0521358041582338
4,0.062479543422133,0.053473032052795
5,0.0561358783573488,0.0530774786736168
6,0.0488197891844439,0.0508774015385321
7,0.0410785202318511,0.0470240322193438
8,0.0334259988058579,0.0418633306227607
9,0.0262888619253822,0.0358708286951014
10,0.0199723209965306,0.0295671705806838
11,0.0146485956536205,0.0234351596888892
12,0.0103659886138975,0.0178561027664922
13,0.00707309994766527,0.0130757051750165
14,0.00465088258270976,0.00920071800471176
15,0.00294536193083584,0.00621997627363281
16,0.00179548966559871,0.00403933111569186
17,0.00105304153529555,0.00251965407709848
18,0.0005939082423474,0.00150964560883695
19,0.000321968594596355,0.000869033065062182
20,0.000167707791642185,0.000481399864444037
21,8.39034165971376e-05,0.000258411930146923
22,4.0304079496677e-05,0.000138341362966558
23,1.85836869950903e-05,8.17787603219698e-05
24,8.2226555850116e-06,6.67451519237706e-05
25,3.49048427595699e-06,8.45085839608659e-05
