s,p,q
-25,4.6693974135451e-07,0.00666909642038468
-24,1.19163713211408e-06,0.00655883951948561
-23,2.91630097017887e-06,0.0066935650340989
-22,6.84589052509e-06,0.00696331384608743
-21,1.54190440526877e-05,0.00725335614755227
-20,3.33314247527814e-05,0.00747017264496171
-19,6.91797034754906e-05,0.00756172880808916
-18,0.000137915669294301,0.00752808394948685
-17,0.000264219009223242,0.00742025693608639
-16,0.000486698602607682,0.00732771705629412
-15,0.000862494667523951,0.00735738022268142
-14,0.00147140125378962,0.00760895710820708
-13,0.00241814837167329,0.00815241485158601
-12,0.00383112748501045,0.00901293517841519
-11,0.00585579820364021,0.0101671394988767
-10,0.0086414381777719,0.0115518116309751
-9,0.0123208646168453,0.0130833532028239
-8,0.0169842064710312,0.0146833411321989
-7,0.0226495478619394,0.0163034784104815
-6,0.0292349905714015,0.0179425788680895
-5,0.0365380064138385,0.0196494539436616
-4,0.0442284173496391,0.0215087160428263
-3,0.0518604880277964,0.0236110487166853
-2,0.0589070982286347,0.0260143247983148
-1,0.0648147931831504,0.0287056564559848
0,0.0690733076043547,0.0315757033727056
1,0.0712882327688796,0.0344145837896984
2,0.0712425685161248,0.0369336985215647
3,0.0689334700477991,0.0388108878164385
4,0.0645750680628252,0.0397495573499826
5,0.0585658558140732,0.039537875240867
6,0.0514275558830483,0.0380934412847608
7,0.0437289005103922,0.0354823660913703
8,0.0360103331516929,0.0319084598060714
9,0.0287237057580449,0.0276760925226907
10,0.0221956747075379,0.0231367709901834
11,0.0166167983343448,0.0186326573413891
12,0.0120525039862085,0.0144494517855365
13,0.00846857084477756,0.0107869827071928
14,0.00576292182591159,0.00775019317094654
15,0.00379677048211627,0.00535792643099901
16,0.00242052245783733,0.00356345646337249
17,0.00149232371557544,0.00227964917127381
18,0.000889148430329096,0.00140265621003235
19,0.000511582022778335,0.00083026530353653
20,0.000284017735534836,0.000473481568777154
21,0.000152027742165568,0.000261863096879101
22,7.83996374713048e-05,0.000144248464439578
23,3.8922620931709e-05,8.68200045840793e-05
24,1.85905278565954e-05,7.01802178185655e-05
25,8.53715032584815e-06,8.65639574290162e-05
