s,p,q
-25,2.81930991517444e-06,8.31144667988387e-06
-24,6.7150967322169e-06,1.85513758206444e-05
-23,1.53509477425177e-05,3.96515510996091e-05
-22,3.36860273907866e-05,8.11606909690324e-05
-21,7.09670182044135e-05,0.000159094994980637
-20,0.000143555025285871,0.000298693548830393
-19,0.000278869493305144,0.000537156215546553
-18,0.000520323307641478,0.000925437197560349
-17,0.000932627022272277,0.00152777137567212
-16,0.00160613757751358,0.00241750383648692
-15,0.00265816078615823,0.00366826537704174
-14,0.00422858602251033,0.00534077519766098
-13,0.00646735345392114,0.00746744824011671
-12,0.00951242821500953,0.0100389954929089
-11,0.0134593386752469,0.0129983977247949
-10,0.0183266072811906,0.0162469977887655
-9,0.0240246588210743,0.0196644410782901
-8,0.030337700394558,0.0231392202122047
-7,0.036927328681768,0.0266012251993374
-6,0.0433626020239823,0.0300442911317921
-5,0.0491745898473163,0.0335273969725101
-4,0.0539258550610998,0.0371487039151745
-3,0.0572795918216745,0.0409957992137046
-2,0.0590516402249652,0.0450852324723001
-1,0.0592323846540766,0.049310834369176
0,0.0579736753820939,0.0534203821405618
1,0.0555456840730197,0.0570331542200315
2,0.0522765871331709,0.0596987765283508
3,0.0484914512998503,0.0609845793873528
4,0.0444647884996327,0.0605690846727707
5,0.0403951708543421,0.0583166246485179
6,0.0364026976386657,0.0543133366966911
7,0.0325438083767666,0.0488559654076586
8,0.0288347667443635,0.0423981309038479
9,0.02527537231296,0.0354696278216319
10,0.021867048328143,0.0285896909779299
11,0.0186228128860784,0.0221939808760494
12,0.0155694451275477,0.0165885840941258
13,0.0127438020923256,0.0119353978002778
14,0.010185800310963,0.00826497850705957
15,0.00793045377016573,0.005507552928756
16,0.0060009284772851,0.00353125011582654
17,0.0044040087373792,0.00217818182652349
18,0.00312870407906916,0.0012924045726009
19,0.00214799119079693,0.000737535056228447
20,0.00142299982967802,0.000404748361924313
21,0.000908487422926148,0.000213570376205289
22,0.000558330982858478,0.000108338373956876
23,0.000329999455357486,5.28247843015994e-05
24,0.000187429785210524,2.47533049340983e-05
25,0.000102230464286354,1.11453143873982e-05
