s,p,q
-25,7.85191135358495e-07,0.000319205963089048
-24,1.89724596668721e-06,0.000535816927327395
-23,4.39798275894078e-06,0.00086531904512644
-22,9.78465855923912e-06,0.00134610270149666
-21,2.09033704501662e-05,0.00202001330198478
-20,4.29064379578389e-05,0.00292916692166385
-19,8.46772761276655e-05,0.00411233870649896
-18,0.000160805981641937,0.00560157284167357
-17,0.000294125888632255,0.00741944207434688
-16,0.000518700305577976,0.00957686039501958
-15,0.000882988878124526,0.0120707704011005
-14,0.00145274405955561,0.0148807726518092
-13,0.00231300815350959,0.0179641555757504
-12,0.00356840402254006,0.0212498345049295
-11,0.00534072844654362,0.0246330220899432
-10,0.00776267497898023,0.0279733664961298
-9,0.010966417692401,0.0310992224107894
-8,0.0150659873238359,0.0338195067542998
-7,0.0201331758788578,0.035942632441063
-6,0.0261683771172244,0.0373000505865516
-5,0.0330702757133971,0.0377706385394821
-4,0.0406110797201426,0.0373018192551835
-3,0.0484259423962993,0.0359237177562071
-2,0.0560250025905725,0.0337535028239591
-1,0.0628331415278226,0.0309881245539652
0,0.0682562185120414,0.0278850146018248
1,0.0717646974850337,0.0247321433985611
2,0.0729787664591939,0.0218110832488297
3,0.07173597844815,0.019358932121864
4,0.0681247721383681,0.0175362918890576
5,0.0624747525690218,0.0164081675975818
6,0.0553051639854317,0.0159423107476133
7,0.0472432336650198,0.0160255340233293
8,0.0389307895195516,0.0164939302922744
9,0.0309388705065953,0.017169166787089
10,0.0237060164393191,0.0178914240045506
11,0.0175083425282221,0.0185408284241302
12,0.0124610668053857,0.0190431493239847
13,0.00854438886071798,0.0193608532843313
14,0.00564304830043902,0.0194754564283381
15,0.00358875679902124,0.019369660456307
16,0.0021971585814857,0.0190170091718333
17,0.00129465740694697,0.0183830807490393
18,0.000734028893592546,0.017437102069085
19,0.000400336682520965,0.0161684785922649
20,0.000209981769904448,0.0146008448055814
21,0.000105894490144946,0.0127974723521869
22,5.13327370062863e-05,0.01085547537236
23,2.39133897452183e-05,0.0088905449905753
24,1.07031848566596e-05,0.00701714717495929
25,4.60164470088959e-06,0.00533013573448187
