s,p,q
-25,2.68178207634645e-05,6.59382451287803e-06
-24,5.44244560477901e-05,1.52214249480721e-05
-23,0.000106126156074993,3.36702908821722e-05
-22,0.000198947986422342,7.13738967250412e-05
-21,0.000358759899148628,0.000144999457974317
-20,0.000622733372062974,0.000282337806681226
-19,0.00104123634507662,0.000526985517575545
-18,0.00167837194934431,0.000943017126384157
-17,0.0026102853524346,0.00161812780862863
-16,0.00392050654839012,0.00266306240175301
-15,0.0056920190749818,0.00420490822305885
-14,0.00799642143180984,0.00637245423115905
-13,0.0108813604215861,0.00927359900476875
-12,0.0143581635619531,0.0129675982155622
-11,0.0183920435925629,0.0174380433891193
-10,0.0228971815066902,0.0225745822083502
-9,0.0277383050142238,0.0281711431302046
-8,0.0327391242259465,0.0339450290224273
-7,0.0376964319317716,0.0395751706843397
-6,0.042397277089345,0.0447510032398764
-5,0.0466359039048119,0.0492186467661756
-4,0.050227501100329,0.0528107980918879
-3,0.0530172336315468,0.0554517715396156
-2,0.05488503291913,0.057137908165312
-1,0.0557483107095516,0.0579026476156167
0,0.0555652343806437,0.0577810594464518
1,0.0543400441975805,0.0567881274177474
2,0.0521295198649399,0.0549187804039699
3,0.0490472864547433,0.0521683457303325
4,0.0452615894439639,0.0485637797733804
5,0.0409833420225729,0.0441920740819652
6,0.0364444437156723,0.0392139004457067
7,0.031870272224147,0.0338566376575627
8,0.0274530410478676,0.028388553937774
9,0.0233329934770483,0.0230820263545611
10,0.019591927326886,0.0181762771649367
11,0.0162593707508654,0.0138488994381849
12,0.0133276713830379,0.0102015863358832
13,0.0107699783795407,0.00726080352797248
14,0.00855531774992349,0.00499031365207398
15,0.00665723931395867,0.00331041389793892
16,0.00505558967567464,0.0021185822474179
17,0.00373347042894087,0.00130743193832111
18,0.00267252866276294,0.000777690137738962
19,0.00184933706123547,0.000445666747183324
20,0.00123431574782883,0.000245941664091886
21,0.000793204856336186,0.000130639789044101
22,0.000490113981394852,6.67646778415769e-05
23,0.000290874209375795,3.28138956098946e-05
24,0.000165677806048789,1.55034319071321e-05
25,9.05138133248051e-05,7.03858537874318e-06
