s,p,q
-25,2.4321955339533e-05,0.000440632273251145
-24,4.92059340132042e-05,0.000710607656422057
-23,9.55763699515796e-05,0.00110029435510312
-22,0.000178328471227346,0.00163718810100651
-21,0.000319810715953681,0.00234366660551266
-20,0.000551672737318876,0.00323244972267308
-19,0.000916128711391354,0.00430320552334132
-18,0.00146605981903217,0.00554152215331986
-17,0.00226344909162897,0.00692081842356651
-16,0.00337591429278822,0.00840667650826582
-15,0.00487154141648375,0.00996198955379764
-14,0.00681268486021841,0.0115508177016679
-13,0.0092496874768223,0.0131393692109645
-12,0.0122154082350577,0.0146940257395349
-11,0.0157209897738591,0.0161781884203523
-10,0.019752622749629,0.0175509585687372
-9,0.024268511039364,0.0187704534453603
-8,0.0291951774684494,0.0198027121850214
-7,0.0344228600907016,0.0206343368790219
-6,0.0398008934144293,0.0212844936243916
-5,0.0451351858297152,0.0218109083869763
-4,0.0501905939603601,0.0223056463467199
-3,0.0547006981175213,0.0228794591064893
-2,0.0583861164083299,0.0236372656647944
-1,0.0609804086495481,0.0246505651993231
0,0.0622604527478021,0.0259341632601612
1,0.0620765804928166,0.0274340008550681
2,0.0603771649144194,0.0290302516052024
3,0.0572228619954818,0.0305559281410887
4,0.0527871717242838,0.0318271375502823
5,0.0473421204588065,0.0326780577068963
6,0.0412303640548086,0.0329925902872622
7,0.0348275034511448,0.0327257610139245
8,0.0285004245830846,0.0319107929419106
9,0.0225684872028285,0.0306513291454712
10,0.0172739629857889,0.0291014092740268
11,0.0127661845127256,0.027437800755784
12,0.00910083896487337,0.0258300398864927
13,0.00625257196425142,0.0244133541710625
14,0.0041365181512276,0.0232688555994424
15,0.00263323032521984,0.0224141369214995
16,0.0016118886501672,0.021805625705804
17,0.000948248603929757,0.0213518231429586
18,0.000535834630487968,0.0209342852817896
19,0.000290716750521038,0.0204315822431827
20,0.00015138238548102,0.0197411171376959
21,7.56318990189925e-05,0.0187947622853567
22,3.62441284462248e-05,0.0175663311003382
23,1.66559571834863e-05,0.0160711167440652
24,7.33858592015549e-06,0.0143593140121259
25,3.09949372987693e-06,0.0125057492728785
