s,p,q
-25,2.25811178286619e-05,3.81439034297317e-06
-24,4.73961608765047e-05,8.68360106778854e-06
-23,9.54677492795117e-05,1.89414637961807e-05
-22,0.000184592254464002,3.95930703383154e-05
-21,0.000342741654944203,7.93201697143413e-05
-20,0.000611367156853313,0.000152332158535435
-19,0.00104819747228542,0.000280511670473568
-18,0.00172846533986582,0.000495449843996075
-17,0.00274334880118711,0.000839682932341346
-16,0.00419463894148735,0.0013662392233816
-15,0.00618534141313964,0.00213564984232637
-14,0.00880699126242838,0.00321002523252284
-13,0.0121255740669152,0.00464469382242342
-12,0.0161686044846608,0.006479065533067
-11,0.0209156847067376,0.00872939203818589
-10,0.026293675011762,0.011386367305821
-9,0.0321759208092243,0.014419561557011
-8,0.0383836979072113,0.0177884363036059
-7,0.0446880709515547,0.0214567033951514
-6,0.050812038904854,0.0254042032460789
-5,0.0564355137903616,0.0296296229478861
-4,0.0612078257100882,0.0341391882368352
-3,0.0647723866291772,0.0389209174623791
-2,0.0668050208650348,0.0439099128465384
-1,0.0670619606604022,0.0489553866754066
0,0.0654277686014944,0.0538024349512512
1,0.0619502099549036,0.0580995124391592
2,0.0568503058882421,0.0614361585045067
3,0.0505015683684401,0.0634064810293631
4,0.0433808540567804,0.0636851409450813
5,0.0360012877474086,0.0620972053025177
6,0.0288423910684165,0.0586633798527461
7,0.0222924234905573,0.0536080500846537
8,0.0166134366648747,0.0473274480627862
9,0.0119326323399811,0.0403258853861692
10,0.00825682660242182,0.0331359038151257
11,0.00550219752974284,0.0262410365326636
12,0.00352993199775821,0.0200171927975826
13,0.00217959393599228,0.0147019378222877
14,0.00129492232200539,0.010392762847241
15,0.000740041715293615,0.00706850640225611
16,0.00040672682889391,0.00462417032264769
17,0.000214919992895158,0.00290890323630677
18,0.000109162754111959,0.00175914492862325
19,5.32837823384514e-05,0.0010224558569438
20,2.49885312774646e-05,0.000571027187778515
21,1.12568519030943e-05,0.000306366461681063
22,4.87004005611511e-06,0.000157871849305503
23,2.02301888469355e-06,7.81191926149176e-05
24,8.06743495334234e-07,3.71120177254155e-05
25,3.0878731878211e-07,1.69236117128264e-05
