s,p,q
-25,1.6833046856816e-07,0.00987979803775266
-24,4.54156088943294e-07,0.0116143174419929
-23,1.17597462058136e-06,0.0132819887369023
-22,2.92286043503871e-06,0.0147865330437444
-21,6.9743751889529e-06,0.016028985871316
-20,1.5979464609075e-05,0.0169148255320448
-19,3.51604310057701e-05,0.0173634285940602
-18,7.43120578460134e-05,0.017319398365449
-17,0.000150889246617374,0.0167638022205013
-16,0.000294397854188238,0.0157221777378569
-15,0.000552044977371992,0.0142661074735295
-14,0.000995099750479931,0.0125065238025775
-13,0.00172465729314927,0.0105792917454068
-12,0.00287460241960534,0.00862608948458169
-11,0.00460881894915019,0.006775144195727
-10,0.00710952030939791,0.00512638517478614
-9,0.0105544624369057,0.00374412526928363
-8,0.0150830401442257,0.00265813022791972
-7,0.0207547294869479,0.00187174827527691
-6,0.0275072774257021,0.00137431628354753
-5,0.0351251499027696,0.00115456958102575
-4,0.0432295180160462,0.00121208354522698
-3,0.0512983790059837,0.0015644904230083
-2,0.0587192013392733,0.00224902078996849
-1,0.0648680583893207,0.00331769932236133
0,0.0692010507209603,0.00482636187025054
1,0.0713387652972899,0.00681869489349633
2,0.0711246919849202,0.00930774207634214
3,0.068644325335905,0.0122585456820252
4,0.064201508244946,0.0155763420859509
5,0.0582592999533706,0.0191045142664391
6,0.0513608222633412,0.0226350215067601
7,0.0440487113181619,0.0259313882267611
8,0.0367994387225817,0.0287611133417243
9,0.0299822996955262,0.0309314573065314
10,0.0238449608898591,0.0323209127057768
11,0.0185208406092513,0.032898919402895
12,0.0140500079502631,0.0327286811177215
13,0.0104050384877669,0.0319518140630297
14,0.00751542191404167,0.0307580424720393
15,0.00528718651679544,0.0293470140587835
16,0.00361706184936705,0.0278913723395758
17,0.00240204951144381,0.0265097679116829
18,0.00154570239184358,0.0252555443142899
19,0.000962145801874506,0.0241222682573487
20,0.000578413555429473,0.0230625724529277
21,0.000335354525217338,0.0220134983911931
22,0.000187285178103392,0.0209206610169219
23,0.000100642170776852,0.01975512843819
24,5.19936618647084e-05,0.0185200130310597
25,2.58045176882704e-05,0.017247071104284
