s,p,q
-25,1.41085485768137e-05,3.00522979940453e-07
-24,3.0221719486055e-05,7.93609230638355e-07
-23,6.20638235625216e-05,2.00925180053923e-06
-22,0.000122223595990993,4.87764674950934e-06
-21,0.000230892139509382,1.13550956679538e-05
-20,0.000418574028569686,2.53535765811712e-05
-19,0.000728539650629307,5.43034606371335e-05
-18,0.00121816155932349,0.000111592989955866
-17,0.00195808823661874,0.000220069254140214
-16,0.00302830807856316,0.000416580266006026
-15,0.00451066603035247,0.000757132580516438
-14,0.00647829638222735,0.00132163280033248
-13,0.00898350575388957,0.00221647654245745
-12,0.0120464850576142,0.0035726820787926
-11,0.0156474291351897,0.00553718609622546
-10,0.0197239751212459,0.00825567921643974
-9,0.0241744820286426,0.01184713890238
-8,0.0288660783870541,0.0163728352436913
-7,0.0336452618156949,0.0218054045130339
-6,0.0383486073518715,0.0280056161051749
-5,0.0428118348783982,0.0347146739312739
-4,0.0468766450963924,0.0415676720965282
-3,0.0503957243241291,0.0481293267735109
-2,0.0532367172455124,0.053947385430535
-1,0.0552857954333196,0.0586138664523457
0,0.0564510934932866,0.0618212886665636
1,0.0566661544158195,0.0634015242551001
2,0.0558937119663906,0.0633389913403632
3,0.0541303239679419,0.0617565155848978
4,0.0514120808709291,0.0588793199412954
5,0.0478206325145418,0.054987953265706
6,0.0434874249289933,0.0503727863522921
7,0.0385930951649212,0.045300463978696
8,0.0333592314389357,0.0399973709612554
9,0.0280314582466825,0.0346488635292404
10,0.0228555597061913,0.0294081361862264
11,0.0180510062963302,0.0244068134350051
12,0.0137876241646808,0.0197609393516882
13,0.0101705919436599,0.0155698276499575
14,0.00723666340818341,0.0119093021089828
15,0.00496141435681766,0.00882345641694395
16,0.00327457160007766,0.00631938134781017
17,0.00207898975921057,0.00436766649446021
18,0.00126887448414398,0.00290897228301404
19,0.000744077675816564,0.00186479551482304
20,0.000419039044050781,0.00114949395240664
21,0.000226549451667726,0.000680815171389771
22,0.000117545673207784,0.00038719398514316
23,5.85154735453634e-05,0.00021134329907872
24,2.79421138818267e-05,0.000110671460160373
25,1.27965145797991e-05,5.55816056758102e-05
