s,p,q
-25,2.66564144082032e-06,1.04625394343343e-05
-24,6.31711607319953e-06,2.32142441244012e-05
-23,1.43570980285398e-05,4.9480977830462e-05
-22,3.12989193043255e-05,0.000101334058699657
-21,6.54636731830913e-05,0.000199421033419657
-20,0.000131396364535782,0.000377179103145408
-19,0.000253158719864953,0.000685719600007436
-18,0.000468333925923213,0.00119847333284428
-17,0.000832168654183732,0.00201397891786237
-16,0.00142073986888903,0.00325455834633639
-15,0.0023315046706406,0.00505840431614988
-14,0.00367931222162671,0.0075632112660691
-13,0.00558622400196641,0.0108812076529834
-12,0.00816453656423625,0.0150682250974263
-11,0.0114942431156735,0.0200926580030938
-10,0.0155984665108188,0.0258126743173907
-9,0.0204224356582957,0.0319704643198406
-8,0.0258224445720866,0.0382096720088607
-7,0.0315701517658606,0.044116495672085
-6,0.0373743217044808,0.049277713560211
-5,0.0429172987831013,0.0533426390943609
-4,0.0478985880005469,0.0560734395998037
-3,0.0520747634047835,0.0573709331354947
-2,0.0552850962866012,0.0572703888895113
-1,0.057456276271868,0.0559113502346804
0,0.0585863603230895,0.0534933519773948
1,0.0587152615831385,0.0502325055021988
2,0.0578938282147327,0.0463312530163688
3,0.0561637444352456,0.0419666607333078
4,0.0535557813865492,0.0372946802995613
5,0.0501061099652306,0.0324622262243288
6,0.0458826769085052,0.0276176342534331
7,0.0410092866499412,0.0229128941920512
8,0.0356758182259892,0.0184960769894127
9,0.0301284657352813,0.0144971042787207
10,0.0246415605906351,0.0110125661906113
11,0.0194791728035006,0.00809510719026402
12,0.0148577730062354,0.00575064221690418
13,0.0109199869332884,0.00394366772346194
14,0.00772495995958551,0.00260846961672771
15,0.0052552485895264,0.0016628310580736
16,0.00343564822669914,0.00102096831250122
17,0.00215724922982674,0.000603449262089792
18,0.00130039414088015,0.000343182157409284
19,0.000752277205014713,0.000187705474704296
20,0.000417526498565364,9.87023208598774e-05
21,0.000222275557297572,4.98792215839529e-05
22,0.000113479476094748,2.42163810294024e-05
23,5.55509547936969e-05,1.12917654976784e-05
24,2.60709082900929e-05,5.05536824470918e-06
25,1.17290256903961e-05,2.17253303402181e-06
