s,p,q
-25,2.84545697677545e-05,5.04621550341636e-06
-24,5.68857596113551e-05,1.19050473254202e-05
-23,0.00010917687774005,2.69054954888548e-05
-22,0.00020125695945777,5.82510056251242e-05
-21,0.000356551014686397,0.000120817031772711
-20,0.000607500962061792,0.000240064177304829
-19,0.000996288249130323,0.000457000432489484
-18,0.00157418850271392,0.000833520641055451
-17,0.00239913650923009,0.00145664553578945
-16,0.00353145438363581,0.00243930493092079
-15,0.0050282405971736,0.00391474484697351
-14,0.0069374651548373,0.00602192713576894
-13,0.00929312176630257,0.00888092943623215
-12,0.0121126191168967,0.0125604675299745
-11,0.0153968512235109,0.0170436755550235
-10,0.0191322058002993,0.0222018106824409
-9,0.0232925429600717,0.0277867363191176
-8,0.0278384713826139,0.0334503261802142
-7,0.0327116100386784,0.0387920482409423
-6,0.0378232123318762,0.0434265873941578
-5,0.0430392894767506,0.0470548184730662
-4,0.0481673402314557,0.0495176007982127
-3,0.0529516872206969,0.0508152458788593
-2,0.0570839914857456,0.0510857762166493
-1,0.0602321957559181,0.0505487768406541
0,0.0620855342372984,0.0494334298956681
1,0.0624071466158308,0.0479144056007842
2,0.0610816563497683,0.0460755894140598
3,0.0581447873317127,0.0439107891308242
4,0.0537862295336097,0.0413571207631559
5,0.0483242279222978,0.0383460299108024
6,0.0421581339634109,0.0348526273516731
7,0.035710633195236,0.0309270073952505
8,0.029372814699764,0.0266993783321673
9,0.0234626654371013,0.0223604528619965
10,0.0182024540343155,0.0181260280498803
11,0.0137149637750244,0.0141979041505424
12,0.0100344437953562,0.010732075397818
13,0.00712629772906353,0.00782086623844345
14,0.00490973116054611,0.00549046180328223
15,0.00327903142927969,0.00371095111932073
16,0.00212096596233891,0.00241362875094339
17,0.0013273439435566,0.00151002246690141
18,0.0008028479569661,0.000908375152242754
19,0.000468833891782627,0.000525258549442138
20,0.000264052796359018,0.000291861063247936
21,0.000143293327246016,0.000155794812177032
22,7.48578459809148e-05,7.98712463751054e-05
23,3.76164074981551e-05,3.93172220336605e-05
24,1.81693471710356e-05,1.85793850960451e-05
25,8.43056260857714e-06,8.42643725761318e-06
