s,p,q
-25,9.19338514813707e-06,0.0055317742523728
-24,1.94173553796283e-05,0.0061633079936869
-23,3.93217923939841e-05,0.00701194899453579
-22,7.63795343430572e-05,0.007996458372831
-21,0.00014237744711258,0.00902118488674083
-20,0.000254862720701476,0.00999010149492051
-19,0.000438457557717658,0.0108191779055291
-18,0.000725689926331789,0.0114455449941665
-17,0.0011569934175227,0.0118329183556582
-16,0.00177968947996728,0.0119735789865891
-15,0.00264607625780263,0.0118875402680939
-14,0.0038111053285522,0.011619346868152
-13,0.00533033024029491,0.0112325959220857
-12,0.00725863872484304,0.0108022490039523
-11,0.00964963107689043,0.0104054235698294
-10,0.0125545280205491,0.0101124338859539
-9,0.0160186135543148,0.00998071889409681
-8,0.0200730223369251,0.0100541208644548
-7,0.0247206187348133,0.010368310612744
-6,0.029916814022428,0.0109603214495325
-5,0.0355488969050864,0.0118772922179885
-4,0.0414198438746301,0.013178144284889
-3,0.0472435826633227,0.0149231981160442
-2,0.0526575908517583,0.0171508184461415
-1,0.057255431243488,0.0198458951977517
0,0.0606369544044089,0.0229101329716419
1,0.0624685981477254,0.0261463551526866
2,0.0625419614533256,0.0292668071545433
3,0.0608170896933796,0.0319289185901644
4,0.0574387074656528,0.0337931460467865
5,0.0527191043961681,0.0345895405646517
6,0.0470894236946757,0.0341756626399442
7,0.041029484164142,0.0325700907297718
8,0.0349922389100231,0.029952551245605
9,0.0293403368485321,0.0266311698870379
10,0.0243083488876617,0.022986124807735
11,0.0199963477173972,0.019404207637726
12,0.0163914827722377,0.0162192180683225
13,0.0134071055169318,0.013669373516962
14,0.0109260590488881,0.0118769748746045
15,0.00883637747206219,0.0108497041941128
16,0.00705254092242271,0.0104987913991409
17,0.0055213278525611,0.0106674702213345
18,0.00421600782809294,0.011163307452908
19,0.00312485126605448,0.0117893086365517
20,0.00223962185091455,0.0123703433650086
21,0.00154771625874937,0.0127728420115727
22,0.00102912927008495,0.0129166908473301
23,0.000657447873951391,0.0127788703430561
24,0.000403096421583742,0.012388876314176
25,0.000237025301296751,0.0118165994341545
