s,p,q
-25,5.05708146988997e-07,2.30509602694877e-07
-24,1.25190304112556e-06,6.07428819496784e-07
-23,2.97398596796321e-06,1.53520829691321e-06
-22,6.78243486878898e-06,3.72197720099234e-06
-21,1.48566637455997e-05,8.65747800575203e-06
-20,3.12743540325044e-05,1.93243948028606e-05
-19,6.33086436817672e-05,4.14011464679653e-05
-18,0.000123326305583395,8.51562379448323e-05
-17,0.000231371421014317,0.00016820360421454
-16,0.000418405145213511,0.000319152491933084
-15,0.000729980728494856,0.000581899160465073
-14,0.00122986625631635,0.00101985850856442
-13,0.00200280684495495,0.00171887860008029
-12,0.00315528647775217,0.00278707438986461
-11,0.00481287818514753,0.00434960508078487
-10,0.00711266998243503,0.00653678061515805
-9,0.0101894821658588,0.009465011397946
-8,0.0141553418962402,0.0132119845865738
-7,0.0190731061648778,0.0177897144689637
-6,0.0249271960794208,0.0231211211193021
-5,0.0315967545063137,0.0290267395791365
-4,0.0388383888120414,0.0352273796653723
-3,0.0462859837905815,0.041365808534958
-2,0.0534730095077061,0.0470462236600688
-1,0.0598781630023278,0.0518854794262174
0,0.0649890174220014,0.0555661799714827
1,0.0683725307656177,0.0578802473663175
2,0.0697380066299867,0.0587532193143673
3,0.0689789138839752,0.0582441278614989
4,0.0661848713314759,0.0565220859065581
5,0.0616224779670517,0.0538266673355617
6,0.0556909735709174,0.0504228196505367
7,0.0488636016363392,0.046561222732153
8,0.0416268454121334,0.042451863041877
9,0.03442773908863,0.0382535453097672
10,0.0276356079162725,0.034077125764709
11,0.0215204910694175,0.0299971144303717
12,0.0162472933628859,0.0260656430350178
13,0.0118827801052396,0.022324187540217
14,0.00841167631990745,0.0188107472404138
15,0.00575796547325241,0.0155622928544476
16,0.00380771942722097,0.012613583789601
17,0.00243033020581761,0.00999389687943306
18,0.00149583725619088,0.00772312984695815
19,0.000887081273098868,0.00580847493943385
20,0.000506495250642225,0.00424254961494812
21,0.000278244523449547,0.00300350852260914
22,0.000146979531590263,0.00205720999657572
23,7.46169601040109e-05,0.00136102421378634
24,3.63889504675833e-05,0.000868487158134842
25,1.7040413028983e-05,0.000533859483230647
