s,p,q
-25,5.41612432342452e-05,6.59356259142091e-06
-24,0.000102881751220666,1.52205741532511e-05
-23,0.000187449127241067,3.3667647441499e-05
-22,0.00032774589069726,7.1366041419513e-05
-21,0.000550268849311624,0.000144977134696283
-20,0.000887872845795036,0.000282277146914615
-19,0.00137822480746441,0.000526827926814152
-18,0.00206093740596828,0.000942625764092868
-17,0.0029738744746739,0.00161719891421247
-16,0.00414969268720888,0.00266095570595799
-15,0.00561403601983914,0.00420034386334338
-14,0.00738663430497741,0.00636300976905438
-13,0.00948570489754722,0.00925494170101347
-12,0.0119346235662393,0.0129324241497128
-11,0.0147682513833831,0.0173747888575002
-10,0.0180352318761563,0.0224661382632502
-9,0.0217926295844589,0.0279940281908289
-8,0.0260907748957548,0.0336696972327227
-7,0.0309489230821812,0.0391682406620143
-6,0.0363256588851723,0.0441800363006601
-5,0.0420909243421404,0.0484595684050629
-4,0.0480081471571581,0.0518571437497102
-3,0.0537344744621953,0.0543238464816398
-2,0.0588442832953808,0.055889082213579
-1,0.0628762275011468,0.0566198477002669
0,0.0653980203800802,0.0565774340721716
1,0.0660774597812806,0.0557878233624437
2,0.0647446805707289,0.0542362866262762
3,0.0614307898164649,0.051887032927927
4,0.0563724651943424,0.0487191676261293
5,0.0499799220948169,0.0447644615941572
6,0.0427746869354407,0.0401324702336146
7,0.0353110300071599,0.0350138538660426
8,0.0280983368250901,0.0296608126742284
9,0.0215401628855223,0.0243510949070645
10,0.0159000207166477,0.0193464646265504
11,0.011296255484434,0.0148567912310493
12,0.00772126628770655,0.0110176921120305
13,0.0050758256871592,0.00788466754870495
14,0.00320812229412562,0.00544187787453991
15,0.00194892757068338,0.00362055301466863
16,0.00113769612502929,0.00232101851827917
17,0.000638024039720357,0.00143316260416872
18,0.000343661040859032,0.000852065166696834
19,0.000177752328445508,0.000487601542410493
20,8.82688414681264e-05,0.000268491808071581
21,4.20753370573351e-05,0.000142210762312844
22,1.92487167134461e-05,7.24325190436617e-05
23,8.45007466605206e-06,3.54651109873903e-05
24,3.55908864417528e-06,1.66880572121921e-05
25,1.43805504988026e-06,7.54433549175996e-06
