s,p,q
-25,0.000113824796805022,0.00709924681348954
-24,0.000206452323317499,0.00724687968130433
-23,0.000359639090126224,0.00774731238655261
-22,0.000602219470470426,0.00850852052358514
-21,0.000970415860871681,0.00942285996381689
-20,0.00150683919408229,0.0103865991917547
-19,0.00225842621229328,0.0113153024146419
-18,0.00327373647728792,0.0121531283253998
-17,0.00460038411243698,0.0128754869895971
-16,0.00628343565597455,0.0134856847809387
-15,0.00836517881159342,0.0140069807878583
-14,0.0108857718832698,0.0144718647940387
-13,0.0138832264421408,0.014910521938558
-12,0.0173904940428228,0.0153405860367701
-11,0.0214276607331051,0.0157604415882755
-10,0.0259886326181838,0.0161482697724514
-9,0.0310239334983569,0.0164683338050358
-8,0.0364235589050259,0.0166843863533943
-7,0.0420052877065815,0.016777720510498
-6,0.047513737344385,0.0167649778832878
-5,0.0526336173253125,0.0167093984760848
-4,0.0570175454012727,0.0167196580473655
-3,0.0603252815719819,0.0169331318622015
-2,0.0622682110518994,0.0174848700332386
-1,0.0626510988922456,0.0184685288176282
0,0.0614030006601054,0.0198993305179963
1,0.0585908904635479,0.0216903134940581
2,0.0544128396529429,0.0236508668762131
3,0.049171796404738,0.0255110930421096
4,0.0432351417642531,0.0269683317658415
5,0.0369880691439599,0.0277454408693777
6,0.0307895939580771,0.0276464570461087
7,0.0249384835916426,0.0265955535616403
8,0.019653236368458,0.0246498136264928
9,0.0150665827356598,0.0219837424427379
10,0.0112319922475454,0.0188511388977203
11,0.00813805003802915,0.0155354153011534
12,0.00572638150169605,0.0123011264033213
13,0.00390962286206327,0.0093572676290241
14,0.00258715494015922,0.00683809739659109
15,0.00165745802842881,0.00480178176007999
16,0.00102678232998635,0.00324284653672638
17,0.00061435248900837,0.00211226922532837
18,0.000354625014708714,0.00133910362145347
19,0.00019727708042229,0.000849123086926792
20,0.000105663277163561,0.000578124470983235
21,5.44429529718237e-05,0.000479421740475145
22,2.69652943063876e-05,0.000526229732971056
23,1.28302236695862e-05,0.000710064992082109
24,5.86123574101319e-06,0.00103623411014346
25,2.56960853224195e-06,0.0015172986816819
