s,p,q
-25,3.78952299953738e-07,0.00554150364784647
-24,1.00134321338165e-06,0.00618357329192041
-23,2.53702724681598e-06,0.00705236479818926
-22,6.16381682754865e-06,0.00807363404062715
-21,1.43615254074356e-05,0.00916228921413783
-20,3.20942752529587e-05,0.0102371206902529
-19,6.87998865936087e-05,0.011233226167725
-18,0.00014149668455417,0.0121100530291269
-17,0.000279240237887571,0.0128540390051793
-16,0.000528894105661864,0.0134759564229376
-15,0.000961649475447651,0.0140039626119242
-14,0.00167893838374089,0.0144739163266322
-13,0.00281547055860432,0.0149188366868595
-12,0.00453639955611213,0.0153596285432789
-11,0.00702554888723722,0.0157993982055237
-10,0.0104626613444601,0.0162235865079603
-9,0.0149899899810545,0.0166073400279034
-8,0.0206719524536857,0.016929760383907
-7,0.0274551529052346,0.0171921185677445
-6,0.0351385443343383,0.0174345753799616
-5,0.043363600641101,0.0177445473947415
-4,0.0516314514714882,0.0182506205825505
-3,0.0593484057316969,0.0190992242805281
-2,0.0658945882242126,0.0204165585929631
-1,0.0707045189916542,0.0222640084915119
0,0.0733451367669279,0.0245994491970077
1,0.0735768919069147,0.0272575966775275
2,0.0713868939680436,0.0299589664206697
3,0.0669886295873895,0.032349628933126
4,0.0607890643975918,0.0340648623247382
5,0.0533297164380954,0.034801996332134
6,0.0452125609928996,0.0343840519343278
7,0.0370237421507513,0.0327977125882066
8,0.0292676792498152,0.0301961939609419
9,0.0223213219869996,0.0268673024238311
10,0.0164136133282107,0.0231760748789511
11,0.0116297782817708,0.0194970084755307
12,0.00793524774489812,0.0161516841659352
13,0.00521103698253242,0.0133640772850501
14,0.00329179416650518,0.0112398817272315
15,0.00199928949537178,0.0097699586315805
16,0.00116697873655406,0.00885321919249551
17,0.000654371018107729,0.00833156688227852
18,0.000352377034503235,0.00802882690245697
19,0.000182171228551905,0.00778634954116825
20,9.03905376496059e-05,0.00748965740630101
21,4.30362061890783e-05,0.00708273765906936
22,1.96572399417386e-05,0.00656906761113206
23,8.61211302846962e-06,0.00600086989626732
24,3.61848295633275e-06,0.00546002037092949
25,1.4578492515065e-06,0.00503512901056961
