s,p,q
-25,7.60823749346565e-05,1.19244822730602e-05
-24,0.000140838674717163,2.56183173806182e-05
-23,0.000249966995096162,5.28014456299207e-05
-22,0.0004255577668493,0.000104433664978373
-21,0.000695355211494201,0.000198276560069327
-20,0.00109136858557499,0.000361493754912756
-19,0.00164707113891972,0.000633172950929349
-18,0.00239353660558814,0.00106602452751961
-17,0.00335550725106832,0.00172628176149784
-16,0.00454891507048928,0.0026908291068295
-15,0.00598144336005919,0.00404095958613053
-14,0.00765703427673347,0.0058529494556272
-13,0.00958378717189665,0.00818669156588514
-12,0.0117828109490978,0.0110745975023334
-11,0.0142940152879229,0.0145134001367134
-10,0.0171744060797602,0.0184609901126558
-9,0.0204857985715978,0.0228389555532336
-8,0.0242719753540152,0.0275394856585948
-7,0.0285294204063216,0.0324335658265416
-6,0.0331794632851462,0.0373768413405789
-5,0.0380514176598316,0.042210704124785
-4,0.0428849900141723,0.0467588727507056
-3,0.0473557353813853,0.0508229841641053
-2,0.0511207172727784,0.0541829955555886
-1,0.0538748481221154,0.0566081470137981
0,0.0554040440799496,0.0578813303051346
1,0.055621157288101,0.0578346491587436
2,0.0545750959807483,0.0563885498581887
3,0.0524313173392417,0.0535833904365858
4,0.0494303198890323,0.0495924254892878
5,0.0458368546546439,0.0447093090093488
6,0.0418941871657498,0.0393101686848839
7,0.0377945238669852,0.0337977315163729
8,0.0336701933134169,0.0285403072675469
9,0.0296030153055709,0.0238198739753893
10,0.0256441251656779,0.0198006980410269
11,0.0218348701584367,0.0165239636284957
12,0.0182212303092233,0.0139268321759926
13,0.0148582189771172,0.0118784063087589
14,0.0118050351002096,0.0102218534233932
15,0.00911479589952941,0.00881204967472323
16,0.00682371241880945,0.00754105609483776
17,0.00494371709125545,0.00634826839402068
18,0.0034605751167634,0.00521663188079162
19,0.00233736190721117,0.00415956063951023
20,0.00152162028607404,0.00320444883091083
21,0.000953869246409168,0.0023779698557011
22,0.000575357241326978,0.00169638751522399
23,0.000333709263352595,0.0011617734795515
24,0.000186010996217254,0.000763143785593836
25,9.95957348413303e-05,0.000480533039341932
