s,p,q
-25,3.03261736478673e-06,0.00666909631261531
-24,7.1486051059495e-06,0.00655883915145068
-23,1.61549440701347e-05,0.00669356383068782
-22,3.50044433863083e-05,0.00696331007844026
-21,7.27336696704052e-05,0.00725334485329422
-20,0.000144948356576483,0.00747014022769137
-19,0.000277102020754161,0.0075616397186067
-18,0.00050829193715049,0.00752784952245643
-17,0.000894853266463068,0.00741966629970705
-16,0.0015125090740567,0.00732629222332113
-15,0.00245541622110819,0.00735408913860418
-14,0.00383041217046751,0.00760167855175692
-13,0.00574539480648877,0.00813700200737725
-12,0.00829217701801895,0.00898168506632531
-11,0.0115261412580175,0.0101064726235474
-10,0.0154469646273761,0.0114390443961046
-9,0.0199857077749091,0.012882654071622
-8,0.0250028658690614,0.0143413307338374
-7,0.030299335039468,0.015745439624718
-6,0.0356383176683967,0.0170707711359237
-5,0.0407724629560553,0.0183453617214455
-4,0.0454687492699779,0.0196409298970429
-3,0.0495248597045211,0.0210496496232005
-2,0.0527748158414779,0.022651078986694
-1,0.0550866919416624,0.0244773035677023
0,0.0563588709361106,0.026485734840388
1,0.0565215708032705,0.0285479331557735
2,0.0555469236254863,0.0304593419877227
3,0.0534653066718895,0.0319696568383018
4,0.0503806732159809,0.0328280106906451
5,0.0464758714812007,0.0328328054913831
6,0.042001420070848,0.0318742389319547
7,0.0372469496678434,0.029959083477444
8,0.0325010442885357,0.0272117810213696
9,0.0280097604005561,0.0238521194185906
10,0.023944876959798,0.0201557375306366
11,0.0203897935207172,0.0164076141078787
12,0.0173453446383023,0.0128594457113804
13,0.0147518411843472,0.0096994673634282
14,0.0125194545538259,0.00703891751399199
15,0.0105578233255572,0.00491462242601905
16,0.00879749558936563,0.00330355582224409
17,0.00719951655745665,0.0021435426725466
18,0.00575360801016295,0.00135452870735691
19,0.00446854353887776,0.000856407769888576
20,0.00335967362605646,0.000581418481349174
21,0.00243805572268705,0.000480847907913228
22,0.00170390379619446,0.000526820950530331
23,0.00114498297800167,0.000710299660900482
24,0.000738919928928444,0.0010363232957365
25,0.000457587953668589,0.00151733113546122
