s,p,q
-25,0.000195688673847449,0.00314537827768581
-24,0.00033680486763524,0.00217088232612953
-23,0.000555290891495271,0.00146607499138353
-22,0.000877165355221705,0.00100920150223852
-21,0.00132798026576512,0.000776811654032848
-20,0.00192771369388051,0.000755942635122436
-19,0.00268482583998669,0.000951919464409583
-18,0.00359110518827023,0.00139086801788912
-17,0.00461946445449267,0.002116472261786
-16,0.00572674085580261,0.00318089126042235
-15,0.00686258163614402,0.00463048296576247
-14,0.00798374566607001,0.00648828434883443
-13,0.0090711020555271,0.00873689011069724
-12,0.01014498972268,0.0113068112556592
-11,0.0112741102124042,0.0140756619474659
-10,0.0125740864466456,0.0168818426139119
-9,0.0141940215654761,0.0195526230286796
-8,0.0162921793246812,0.0219415091554416
-7,0.0190044913876756,0.0239652060251088
-6,0.0224113893868495,0.0256283695173797
-5,0.0265092260826613,0.0270260980323088
-4,0.0311923065268734,0.0283198200652208
-3,0.0362503379798991,0.0296903413159488
-2,0.041383878261927,0.031279626985603
-1,0.0462371219632961,0.0331375779365534
0,0.0504434839932209,0.035189773950467
1,0.0536758520918353,0.0372367930623992
2,0.055691386130732,0.0389869288974385
3,0.0563614288841681,0.0401147064039211
4,0.0556806606374204,0.0403304585317112
5,0.0537550811477649,0.0394434527580974
6,0.0507738586250189,0.0374032816359169
7,0.046973611585207,0.0343105459390551
8,0.0426041792023203,0.0303961920467013
9,0.0379025682632516,0.0259766951875559
10,0.0330778125241456,0.0213974368435769
11,0.0283056275834113,0.016977933997044
12,0.0237293205666495,0.012970144753472
13,0.019462922024392,0.00953611938990807
14,0.0155936058418309,0.00674559507306627
15,0.0121823011270435,0.00458946744484924
16,0.00926307356541947,0.00300249879875887
17,0.0068427596256703,0.00188835812096548
18,0.00490231927264855,0.00114160249019023
19,0.00340066411298579,0.000663582748226555
20,0.00228075513860673,0.000371585781944365
21,0.00147697690255064,0.000202209802008038
22,0.000922447488900556,0.000110799633602856
23,0.000555056595114132,6.88554582476005e-05
24,0.000321493659460567,6.09388489584497e-05
25,0.000179106189952267,8.20107139808751e-05
