s,p,q
-25,0.000220167034221194,0.000309330509069344
-24,0.000386006909835874,0.000514784573811976
-23,0.000650134136062215,0.000822494734417115
-22,0.00105252987607817,0.00126276948705238
-21,0.00163906916188521,0.00186509838886806
-20,0.00245729691100916,0.00265418883643381
-19,0.00355017591952494,0.00364657638106468
-18,0.00494865657250994,0.00484933069124553
-17,0.00666458790050967,0.00626211517147409
-16,0.00868584756782096,0.00788283966595939
-15,0.0109753888154804,0.00971550844163228
-14,0.0134751429215337,0.0117771247810176
-13,0.0161145741659187,0.0140994566954922
-12,0.0188225274889134,0.0167218679346316
-11,0.021540192010066,0.0196736547640206
-10,0.0242326818314498,0.0229480848397398
-9,0.0268968057260463,0.0264745259220203
-8,0.0295628346487307,0.0300980841441209
-7,0.0322883950463919,0.0335764870781395
-6,0.0351432552889397,0.0366007025629729
-5,0.0381852047400629,0.0388393870432457
-4,0.0414297589775749,0.0399994813326918
-3,0.0448197169930219,0.0398887914511718
-2,0.0482034423713545,0.0384638069122112
-1,0.0513314292848595,0.0358487238300481
0,0.0538778967446194,0.0323191275855954
1,0.0554877959884936,0.0282536512212933
2,0.0558414302291649,0.0240658062794978
3,0.054721866085811,0.0201331330923183
4,0.052067471640545,0.0167404476724842
5,0.0479948288406087,0.0140488482682336
6,0.0427852354766327,0.0120943687291045
7,0.0368382631925908,0.0108123278259351
8,0.0306047258998706,0.0100776657497043
9,0.0245159733158774,0.0097490189258921
10,0.0189255319927558,0.00970506216203872
11,0.0140737357965588,0.00986508994074639
12,0.0100785146788926,0.010190843853438
13,0.00694863119619747,0.010671965279764
14,0.00461130460818782,0.0113018867821355
15,0.0029450036292698,0.0120533708378
16,0.00180969529176313,0.012862598307408
17,0.00106980334913439,0.0136277420344384
18,0.000608277391359033,0.0142231819636645
19,0.000332595920583939,0.0145254054919242
20,0.000174849945582772,0.0144428371145014
21,8.83610459322341e-05,0.0139405819343865
22,4.29155239712907e-05,0.0130526895503194
23,2.00279441752257e-05,0.0118783787513045
24,8.97917292614213e-06,0.0105633171547298
25,3.86655534027837e-06,0.00927098304946578
