s,p,q
-25,1.58986329797277e-05,0.00157334256159223
-24,3.28051553242109e-05,0.00109663504674997
-23,6.49303208502146e-05,0.000763201357107404
-22,0.000123317283798356,0.000568868874221961
-21,0.00022482777844221,0.00051268488894192
-20,0.000393679111125601,0.000604252367491899
-19,0.000662468163932582,0.000868524038532582
-18,0.00107211125325975,0.00134701763843241
-17,0.00167016819884607,0.00209452535230292
-16,0.00250729920108677,0.00317070415681556
-15,0.00363213217243319,0.00462676408847955
-14,0.00508547836197094,0.00648894196818059
-13,0.00689537727606406,0.00874230249644325
-12,0.00907457009553197,0.0113199626365824
-11,0.0116214664514929,0.0141031560830691
-10,0.0145244902409397,0.016935864020208
-9,0.0177681919855814,0.0196539004165585
-8,0.0213382796276841,0.0221231878756585
-7,0.0252223682621923,0.024277218883273
-6,0.0294041555991617,0.0261414220523999
-5,0.0338507976799593,0.0278338545569761
-4,0.0384958924331457,0.0295374911539234
-3,0.0432227774992227,0.0314479035025792
-2,0.0478539513598408,0.0337085997726855
-1,0.0521518376464093,0.0363517258015511
0,0.0558338758126545,0.0392620790838457
1,0.0586015845360291,0.042177010085552
2,0.0601796623270662,0.0447252256093643
3,0.0603582768906273,0.0464966245593662
4,0.0590302083967848,0.0471264170088681
5,0.0562148989827809,0.0463726266419876
6,0.0520637540364501,0.0441679024848521
7,0.0468448060248818,0.0406337429969402
8,0.0409092279950289,0.0360554726754152
9,0.0346460639558913,0.0308264189287817
10,0.0284338868508537,0.0253767125200423
11,0.0225982784104742,0.0201041739647696
12,0.0173820749284547,0.015321790238563
13,0.0129319084951015,0.0112298824189813
14,0.00930075383703168,0.00791365386615951
15,0.00646302794592132,0.00536074024195626
16,0.00433699641597608,0.00349012000187349
17,0.00280900765702828,0.00218353912533471
18,0.00175511322655527,0.00131269282939405
19,0.00105736498759665,0.000758532498169414
20,0.00061389454212838,0.000422039528362278
21,0.000343318000224388,0.000227879707611226
22,0.000184851548109289,0.000123304710882056
23,9.57788336959565e-05,7.46882939701454e-05
24,4.77353550632507e-05,6.3543828799932e-05
25,2.28743385319351e-05,8.31246499959605e-05
