s,p,q
-25,3.03858457801618e-06,6.92894853015332e-06
-24,7.21666625857928e-06,1.48651119946899e-05
-23,1.64337515854649e-05,3.05943096878668e-05
-22,3.58868225397922e-05,6.04339921418275e-05
-21,7.51630560558315e-05,0.000114638508610716
-20,0.000151018191805296,0.000208968542211716
-19,0.000291143613966504,0.000366341004061662
-18,0.000538706468028543,0.000618252986799045
-17,0.000956966522949416,0.00100558841907783
-16,0.00163266107849344,0.00157842457930466
-15,0.00267627942850828,0.00239458387422029
-14,0.0042171102537589,0.00351689157236631
-13,0.00639136564768512,0.00500930311787751
-12,0.00932297479518244,0.00693212844732025
-11,0.0130987104725727,0.00933643562754477
-10,0.0177416653081896,0.0122574381492701
-9,0.0231888959838366,0.0157065055110771
-8,0.029279419324766,0.0196617063679352
-7,0.0357571708378215,0.0240576889327041
-6,0.0422902483220176,0.0287770713443188
-5,0.0485037543903935,0.0336467818554913
-4,0.0540202203136072,0.0384431341656489
-3,0.0585001121270761,0.0429081784501791
-2,0.0616756730341961,0.0467769646394503
-1,0.0633737793261356,0.0498115590635577
0,0.0635264152945018,0.0518344069291853
1,0.0621696884875008,0.0527524714718807
2,0.0594334869253644,0.0525654064185106
3,0.055524118560554,0.0513555397165605
4,0.0507021565574607,0.0492631343201302
5,0.0452577223185182,0.046455039191328
6,0.0394856353252191,0.0430965221042525
7,0.0336629499641601,0.0393340486072181
8,0.0280310526092861,0.0352918962717196
9,0.0227836427775877,0.0310798712447983
10,0.0180608354855596,0.026805404206889
11,0.013948701198096,0.0225824974842346
12,0.0104830762062562,0.018532420126596
13,0.00765642644730016,0.0147753249225317
14,0.00542671667096083,0.0114160523857143
15,0.00372738539052995,0.00852959988621682
16,0.00247755086828487,0.00615144076334817
17,0.00159153768440475,0.00427562164655505
18,0.000986857852951646,0.00286060460469752
19,0.000590000845731121,0.00184043272134911
20,0.000339766785837991,0.00113773324446438
21,0.000188305047097802,0.000675375088287164
22,0.000100361748741334,0.000384783050107488
23,5.14065040926196e-05,0.000210319711210686
24,2.52912901776346e-05,0.000110255181400374
25,1.19460007666153e-05,5.54194509610187e-05
