s,p,q
-25,7.70921663071226e-05,7.84794416924162e-06
-24,0.000143220471933732,1.71047087954429e-05
-23,0.000255358911221033,3.58186048758336e-05
-22,0.000437274976897802,7.20983501100137e-05
-21,0.000719802376253187,0.000139563651391074
-20,0.00114035085280782,0.000259939182865982
-19,0.00174133387393955,0.000466079365031227
-18,0.00256780452291502,0.000804980612688231
-17,0.00366507527023967,0.00134000822767241
-16,0.00507740744622141,0.00215126156606269
-15,0.0068486917864481,0.0033328514467716
-14,0.00902520706639062,0.00498601416858061
-13,0.0116591291915953,0.00720755093018562
-12,0.014809940826813,0.0100740775669916
-11,0.0185400311744023,0.013623862450065
-10,0.0229013476297859,0.0178393135622173
-9,0.0279123296229249,0.0226340169482994
-8,0.0335281492745723,0.0278481935621239
-7,0.0396113488957927,0.0332552735044135
-6,0.0459126825064031,0.0385800796695631
-5,0.0520718598256062,0.0435263823366876
-4,0.0576442838370952,0.0478091596892798
-3,0.0621533354764183,0.0511856221386793
-2,0.06516009187038,0.0534794240816491
-1,0.0663360852979415,0.0545943785193301
0,0.0655221677481273,0.0545166993760977
1,0.0627589794341715,0.0533073422347449
2,0.0582814527918548,0.0510876015682464
3,0.0524790726218751,0.0480214818482864
4,0.0458322058932569,0.0442977756230054
5,0.0388399409270102,0.0401138201343982
6,0.0319551397554497,0.0356620433541244
7,0.0255382682901415,0.0311198187900171
8,0.0198349900400356,0.0266427260392123
9,0.0149759933541559,0.0223609097685418
10,0.0109930463574016,0.0183778341083763
11,0.00784363585416631,0.0147704929055702
12,0.00543735413331204,0.0115902228536707
13,0.00365936198219028,0.00886368251916577
14,0.00238863302531193,0.00659410555662406
15,0.00151052485391066,0.00476331577718761
16,0.000924290687322757,0.0033349991275798
17,0.000546573226114163,0.00225936923279991
18,0.000311973351231212,0.00147884198378021
19,0.000171679353606369,0.000933921055490254
20,9.0990427129127e-05,0.000568377908266712
21,4.64029595280465e-05,0.000333011067251546
22,2.27517322632778e-05,0.000187670422819359
23,1.07176131289342e-05,0.000101654907162175
24,4.84772961789766e-06,5.28916255809423e-05
25,2.10435225325499e-06,2.64208068805771e-05
