s,p,q
-25,3.88338995460523e-05,1.8768115341124e-05
-24,7.94528440316189e-05,4.00212048481846e-05
-23,0.000156077768562605,8.17629882333506e-05
-22,0.000294477682728004,0.000160052204092294
-21,0.000533834223576785,0.000300231669604006
-20,0.000930215326053585,0.00053976672863883
-19,0.00155877158282741,0.000930233577969628
-18,0.00251317021932685,0.00153715204033445
-17,0.00390068957470207,0.00243618245700697
-16,0.00583181308864762,0.00370453601842671
-15,0.00840421222225203,0.00540746895893767
-14,0.0116826135211583,0.00758139108793042
-13,0.0156778568390546,0.0102170103327572
-12,0.0203298851975144,0.0132473284444339
-11,0.0254998013529673,0.0165453915123582
-10,0.030974996870249,0.0199349915659704
-9,0.0364886560838098,0.0232141992236732
-8,0.0417511973649881,0.0261876415623157
-7,0.0464875113098003,0.0287002523558172
-6,0.0504715053805579,0.030664100444116
-5,0.0535495468738685,0.0320713810866441
-4,0.0556472554793817,0.0329902541483969
-3,0.0567590468168573,0.0335446782017407
-2,0.0569252537072171,0.0338832910937224
-1,0.0562055536972037,0.0341447071107274
0,0.0546582411451704,0.0344269942368838
1,0.0523321858847547,0.0347677717820852
2,0.0492731191230695,0.0351388015037147
3,0.0455402205697726,0.0354556762303235
4,0.0412250619319689,0.0355998457274867
5,0.0364642325232617,0.0354474787597644
6,0.031439530525683,0.0348982716306246
7,0.0263642512746937,0.0338977261272909
8,0.0214589497500682,0.032448513885895
9,0.0169233375093954,0.0306095953429675
10,0.0129117312165408,0.0284847450135499
11,0.00951778399385897,0.0262041934058627
12,0.0067710315470575,0.023903868705697
13,0.00464435914389578,0.021706352977816
14,0.00306895752207311,0.0197065637261401
15,0.00195227106078593,0.0179637352031051
16,0.00119482250327134,0.0164998054686398
17,0.000703143682918067,0.0153030687114679
18,0.000397698589237334,0.0143351897226187
19,0.000216097504731745,0.0135395962996734
20,0.000112763629625827,0.0128498360998747
21,5.64896168105782e-05,0.0121973650446166
22,2.71595055391548e-05,0.0115188999118658
23,1.25290140557298e-05,0.0107635158893789
24,5.54440650045473e-06,0.00989909748751387
25,2.35314881288843e-06,0.00891698830829413
