s,p,q
-25,3.87420952803186e-06,2.29406062541056e-07
-24,9.20560026791362e-06,6.0403608699181e-07
-23,2.09734522354385e-05,1.5252325525627e-06
-22,4.58228255825057e-05,3.69392762248229e-06
-21,9.60153598754791e-05,8.58206651738814e-06
-20,0.000192978199253198,1.91305669366987e-05
-19,0.000372097865903322,4.09249446388022e-05
-18,0.000688451610958721,8.40381390712329e-05
-17,0.00122252798720505,0.000165695247574223
-16,0.00208417540876304,0.000313777117701878
-15,0.00341227020677724,0.000570898714269258
-14,0.00536730912272453,0.000998368186852872
-13,0.00811475220086708,0.00167881715354171
-12,0.0117987555533894,0.00271584733109403
-11,0.0165088063225114,0.00422889747161183
-10,0.0222449962175539,0.00634194402397678
-9,0.028890061099292,0.00916575372830923
-8,0.0361966311078642,0.0127751278934942
-7,0.0437956966700267,0.0171845499762291
-6,0.0512274828265222,0.0223272668289616
-5,0.0579902347769112,0.0280434379201248
-4,0.0635979061797892,0.0340821081677356
-3,0.0676360640934281,0.0401193463401926
-2,0.0698068910594191,0.0457913941235895
-1,0.0699579324159559,0.05073795759555
0,0.06809331462563,0.0546478857313913
1,0.064368894608158,0.0572983300704015
2,0.0590736677905772,0.0585795538203161
3,0.052599509616207,0.0585007265528785
4,0.0454012835128113,0.057176514096754
5,0.0379504164766348,0.0547987801528953
6,0.0306870266786494,0.0516008887251159
7,0.0239774214875706,0.047822973500126
8,0.0180839208798287,0.0436849732338634
9,0.0131518645124514,0.0393709677445895
10,0.00921483465779958,0.0350246995581345
11,0.00621494765861109,0.0307534120353509
12,0.00403204563555304,0.0266359784606575
13,0.00251467611202295,0.0227316619614835
14,0.00150687365098855,0.019087096614111
15,0.000867189488729242,0.0157404681673204
16,0.000479102085899769,0.0127229196232152
17,0.000254026784556947,0.0100578104016587
18,0.000129226293936518,0.00775874623266067
19,6.30584422028638e-05,0.00582740652881266
20,2.95102598324295e-05,0.00425215274990339
21,1.32424875299704e-05,0.00300815904243984
22,5.69734823887072e-06,0.00205936079028307
23,2.34980215876055e-06,0.00136197444445068
24,9.28968765123821e-07,0.000868888300685839
25,3.52001204231295e-07,0.000534021328339702
