s,p,q
-25,2.20814862352301e-06,5.07824898653851e-06
-24,5.29264944764253e-06,1.19931261912546e-05
-23,1.21738432827214e-05,2.71373793485081e-05
-22,2.6877102281289e-05,5.88355272515436e-05
-21,5.69686694783957e-05,0.000122227820251547
-20,0.000115956737565106,0.000243324454163999
-19,0.000226714034199231,0.000464214468656945
-18,0.000425900761239111,0.0008488045135507
-17,0.000768988400728101,0.0014876496803642
-16,0.00133491790147029,0.00249952446035778
-15,0.00222875528583939,0.00402673664531618
-14,0.00358013786807868,0.00622134604490972
-13,0.00553514515509351,0.00922092849186128
-12,0.00823981690830423,0.0131155024939892
-11,0.0118150957200398,0.0179112249876497
-10,0.0163254243311169,0.0235001833813228
-9,0.0217461045560315,0.0296472624607493
-8,0.0279369629505652,0.0360030476726663
-7,0.0346308224583421,0.0421455794320035
-6,0.0414438858038077,0.0476448394026604
-5,0.0479111300131653,0.0521351721877742
-4,0.0535438181779774,0.0553761035215182
-3,0.0578997752637006,0.0572838500784823
-2,0.0606521949146269,0.0579243537852142
-1,0.0616413339185589,0.0574711057907649
0,0.0608964786687632,0.0561426176518812
1,0.0586225493580899,0.0541405460760887
2,0.055154695824814,0.0516078055774073
3,0.0508924281539795,0.0486174252584387
4,0.046229576694376,0.0451911318441881
5,0.0414962400459239,0.041336416663768
6,0.0369241459166059,0.0370858530326376
7,0.0326393731209327,0.0325238757824214
8,0.0286787766814851,0.0277926721443705
9,0.0250210561681801,0.0230771504017196
10,0.0216214695333847,0.0185758764641603
11,0.0184406514364047,0.0144682549953348
12,0.0154617362715307,0.0108876434896752
13,0.0126944533991019,0.00790657881995092
14,0.0101686428820506,0.00553567860940891
15,0.00792185354482126,0.00373379061168846
16,0.00598610025742305,0.00242467473133532
17,0.00437779477762596,0.00151513755768046
18,0.00309297668102446,0.000910643103310346
19,0.00210798619057761,0.000526221369815518
20,0.0013842209814049,0.000292252433777078
21,0.000874902410655826,0.000155947134033531
22,0.000531832444237933,7.99280096685842e-05
23,0.000310710140848952,3.93374757257938e-05
24,0.000174362942820913,1.85863045540729e-05
25,9.39427816853807e-05,8.42870070920758e-06
