s,p,q
-25,5.11212250669935e-05,7.39739363676559e-06
-24,0.000104237188918081,1.60077787625048e-05
-23,0.000203905819510846,3.32630830621346e-05
-22,0.000382766833677259,6.64020767024079e-05
-21,0.000689711415794844,0.000127417287304007
-20,0.00119338721662311,0.000235166939747704
-19,0.00198360018574112,0.000417767970771755
-18,0.003168789811862,0.00071491093025055
-17,0.00486789843757246,0.00117953426053893
-16,0.00719581681784904,0.00187814708456653
-15,0.0102431939125504,0.00288906715308077
-14,0.0140534378175528,0.00429799325227286
-13,0.0186015561696469,0.00619066115413632
-12,0.0237802894365953,0.0086427877143486
-11,0.0293981817311545,0.0117080055983976
-10,0.0351917713930235,0.0154049545839455
-9,0.0408506376360514,0.0197050834562789
-8,0.0460507929779524,0.0245230175148471
-7,0.0504900526578881,0.0297115334760226
-6,0.0539191614746278,0.0350631613360787
-5,0.0561643493552635,0.0403200300919225
-4,0.0571396169011039,0.0451926114451824
-3,0.0568492357526588,0.049386437986757
-2,0.0553819592568713,0.0526338822969121
-1,0.0528983556472794,0.0547261837087658
0,0.0496122316488928,0.0555397955111145
1,0.0457671540549625,0.0550514319552085
2,0.0416099755911014,0.0533381844822236
3,0.0373646756726358,0.0505624141907895
4,0.0332108649063577,0.0469448760702789
5,0.0292711183131122,0.0427324372479588
6,0.0256095812812967,0.0381677430194238
7,0.0222414769912705,0.0334668614798675
8,0.0191502410146297,0.0288078118317268
9,0.0163071131709564,0.0243291946194767
10,0.0136878159566483,0.0201353209595613
11,0.0112824433191241,0.0163032494359163
12,0.00909722953497803,0.0128880823506105
13,0.00714948888222043,0.00992501268335574
14,0.00545881885055886,0.00742881724492035
15,0.00403816496182912,0.0053928065072047
16,0.00288761470460519,0.00378929662969815
17,0.00199231089621575,0.00257272992208287
18,0.00132430598780881,0.00168527837559755
19,0.000847059164891616,0.00106376009695653
20,0.00052085765054424,0.000646332657646361
21,0.000307661755790079,0.0003776899836936
22,0.000174466681239447,0.000212117569484903
23,9.49343856563022e-05,0.000114427626336687
24,4.95490622402795e-05,5.92646111192317e-05
25,2.47976020318494e-05,2.94580907565676e-05
