t,g,R,Q,P,Sn,SnPrime,anomaly
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0.0239561604732561,0.0239561604732561,0.0541264675552269,0.0528452134522106,0.0239561604732561,0.00217783277029601,0
14,0,-0.222681574228257,0.0548351574086699,0.0685122883413483,-0.198725413755001,-0.018065946705,0
15,0.118364050888913,0.317089464643913,0.0302335229700615,0.0220180346911439,0.118364050888913,0.0107603682626284,0
16,0.0253157727272559,-0.0930482781616568,0.0568761431327073,0.0624224043039575,0.0253157727272559,0.00230143388429599,0
17,0.213539885677181,0.188224112949925,0.0457756446725852,0.0379218726735951,0.213539885677181,0.0194127168797437,0
18,0.693637876132622,0.480097990455441,0.0431637063768379,0.0267063675374427,0.693637876132622,0.0630579887393293,0
19,0.460006994942089,-0.233630881190534,0.0432215562013895,0.0545965251143732,0.460006994942089,0.0418188177220081,0
20,0.608955123395428,0.148948128453339,0.0599455599113849,0.051649922086833,0.608955123395428,0.0553595566723116,0
21,0.656008410163187,0.0470532867677598,0.0529150675173455,0.0504829089182257,0.656008410163187,0.0596371281966534,0
22,0.685288893518601,0.0292804833554139,0.0587010656493634,0.0570071898430232,0.685288893518601,0.0622989903198728,0
23,0.514771674613389,-0.170517218905212,0.0586267781740059,0.0695265557378651,0.514771674613389,0.0467974249648536,0
24,0.528600721485066,0.0138290468716766,0.054005283912759,0.0532635826413995,0.528600721485066,0.0458767782738009,0
25,0.406030571353365,-0.1225701501317,0.0272263063688677,0.0307765735626881,0.406030571353365,0.0549778168280333,0
26,94.9247955657706,94.5187649944173,0.00692959976017219,6.19056200639549e-44,94.9247955657706,8.61876650135288,1
27,94.6925173008281,-0.232278264942487,0.0453020883414819,0.0571472572305229,94.6925173008281,8.60610922982735,1
28,94.8583325567423,0.165815255914124,0.047604941065932,0.0403310362909236,94.8583325567423,8.60407206100592,1
29,94.9308953419526,0.0725627852103532,0.0377430697552989,0.0351013324394863,94.9308953419526,8.56702340598363,1
30,94.8608591634668,-0.0700361784857724,0.0520630642594625,0.0558400825325254,94.8608591634668,8.58189565168407,1
31,94.7513194933313,-0.109539670135558,0.0502339805824043,0.0560492838173395,94.7513194933313,8.55839676090326,1
32,94.7136146401234,-0.0377048532079125,0.0515402537979623,0.0535206725842386,94.7136146401234,8.55069147545093,1
33,94.9364712676537,0.222856627530359,0.0530260028622978,0.042432975573264,94.9364712676537,8.56828930673956,1
34,95.176020324274,0.239549056620265,0.0576618493543985,0.045378875913263,95.176020324274,8.60556805906005,1
35,94.5411115821687,-0.634908742105279,0.0222235613194148,0.0419325254231988,94.5411115821687,8.54659189642579,1
36,94.2054617345827,-0.335649847585981,0.0353232242880158,0.0494118615163121,94.2054617345827,8.52722101483903,1
37,93.9218843118311,-0.283577422751605,0.0449713862230884,0.059716230347488,93.9218843118311,-0.0911737503581365,0
38,93.8560550650609,-0.0658292467702664,0.057653541430703,0.0615765380050389,93.8560550650609,-0.0760420214333896,0
39,94.164601409967,0.308546344906178,0.0488241722760266,0.0358620337020739,94.164601409967,-0.0630664678886577,0
40,93.856516891164,-0.308084518803052,0.0497551508406027,0.0677076052774553,93.856516891164,-0.097670768253513,0
41,93.9004759068555,0.0439590156915157,0.0568108866603482,0.0543676309912726,93.9004759068555,-0.0873075687828501,0
42,93.76689493519,-0.133580971665514,0.0472876073010035,0.0540456592381069,93.76689493519,-0.089493141649209,0
43,94.356453067219,0.589558132028967,0.0497327424932189,0.0275804003120898,94.356453067219,-0.0324692339004015,0
44,94.6539247023067,0.297471635087759,0.0567749520583547,0.0421663963365832,94.6539247023067,-0.0256860513951835,0
45,95.5581762812862,0.904251578979497,0.05268011307607,0.0213272680553817,95.5581762812862,0.0347414506374742,0
46,95.7844715679043,0.226295286618076,0.0688860974946052,0.0549354628222616,95.7844715679043,0.113032725975962,0
47,95.335198772859,-0.449272795045323,0.0263022725767515,0.041220188161322,95.335198772859,0.102703367116022,0
48,95.324811741963,-0.0103870308959886,0.0320630305918339,0.0323978059321967,95.324811741963,0.127538857284715,0
49,95.3944990650579,0.069687323094898,0.0588369987342671,0.0548764099053899,95.3944990650579,0.139858545454275,0
50,95.4461197336855,0.0516206686275895,0.0577541101670377,0.0548484457509592,95.4461197336855,0.116501665792586,0
51,108.784068363124,13.3379486294387,0.00692959976120898,1.11714786982798e-08,108.784068363124,1.35705013381457,1
52,109.166232458454,0.382164095330074,0.0560657025411769,0.0382582861176256,109.166232458454,1.38779605014535,1
53,125.249627696327,16.0833952378723,0.00692960121576144,7.17428195018875e-10,125.249627696327,2.86206661464878,1
54,125.213138319531,-0.0364893767955423,0.0527828314607373,0.0547444149201748,125.213138319531,2.80515320475564,1
55,125.221318381687,0.00818006215581812,0.0229985556738748,0.0228111934211578,125.221318381687,2.77885397085274,1
56,135.625094960518,10.4037765788311,0.0138591081927332,4.20177241935193e-07,135.625094960518,3.64244715265743,1
57,136.314857934823,0.689762974305358,0.00777024582877502,0.00389829324464141,136.314857934823,3.68458057881082,1
58,135.824775435447,-0.490082499375988,0.027182140841258,0.0443735100241823,135.824775435447,3.68087060568985,1
59,135.963506123325,0.138730687877546,0.0392130951274326,0.0341335257970463,135.963506123325,3.69442676194199,1
60,135.303487735972,-0.660018387352967,0.0202904253693942,0.0392584813193769,135.303487735972,3.628089879174,1
61,144.209004604798,8.90551686882607,0.0101018369556927,1.37019860195866e-06,144.209004604798,4.43298953373749,1
62,144.425496083537,0.216491478738607,0.0146100753748061,0.0117660692983288,144.425496083537,3.24012979276476,1
63,144.894429901781,0.468933818244623,0.00761905477831659,0.00476700630529936,144.894429901781,3.24801794939335,1
64,144.134820377557,-0.759609524224025,0.0278707936452317,0.0595721892590286,144.134820377557,1.71683569829369,1
65,143.687229584471,-0.447590793086248,0.0347673368047168,0.0543948315753637,143.687229584471,1.67946284226726,1
66,151.738259577858,8.05102999338685,0.012384538450579,3.94786166238219e-06,151.738259577858,2.41063101783372,1
67,151.303985686719,-0.434273891138877,0.0345560574204441,0.0533490808701036,151.303985686719,1.4253537023819,1
68,151.394901323779,0.0909156370604847,0.0327080054387442,0.0298655076895068,151.394901323779,1.37091303535964,1
69,153.025100846858,1.63019952307865,0.0193946809524706,0.00379923346895886,153.025100846858,1.56366594649188,1
70,152.128954272769,-0.89614657408938,0.0174237583983089,0.0426907075236635,152.128954272769,1.46958619540398,1
71,151.188292226743,-0.94066204602526,0.0264317013918729,0.0677094763723023,151.188292226743,1.44407313552468,1
72,151.391992455237,0.203700228493372,0.0272439542097141,0.0222230803482333,151.391992455237,0.652998895494438,1
73,150.898230282215,-0.493762173021889,0.0205220190433946,0.0336246887849065,150.898230282215,0.58843038169803,1
74,150.337460272497,-0.560770009718158,0.0305149866997382,0.0534628991686445,150.337460272497,0.49482094279232,1
75,149.861504397648,-0.475955874848781,0.0277774626308575,0.0447092703287136,149.861504397648,0.52060763819007,1
76,149.656285023926,-0.205219373722157,0.0387585056242791,0.0475874754309464,149.656285023926,0.542641403586807,1
77,150.269106272752,0.612821248825827,0.0180375323259073,0.00977309759430984,150.269106272752,-0.133559391373286,0
78,175.154257769713,24.8851514969613,0.00692959985925821,1.07950381406852e-13,175.154257769713,2.16820655299946,1
79,178.870786162513,3.71652839280006,0.0161205591030493,0.000392023703655438,178.870786162513,2.49780771261215,1
80,178.433444865967,-0.437341296545787,0.0425034792558944,0.0658202297421356,178.433444865967,2.30984945628265,1
81,178.296508243696,-0.13693662227133,0.0485272340458573,0.0556488709628162,178.296508243696,2.37886854281157,1
82,178.324248735712,0.027740492016513,0.051315685681288,0.0499117266019445,178.324248735712,2.466905137179,1
83,180.359796962471,2.0355482267587,0.0142847754287101,0.00186571822840401,180.359796962471,2.63343677338494,1
84,180.328394069857,-0.0314028926136256,0.00970872136045583,0.0100184408874174,180.328394069857,2.67546943524024,1
85,197.087613440366,16.759219370509,0.00740614686660907,3.90081924347156e-10,197.087613440366,4.2500139243518,1
86,198.865955906207,1.77834246584026,0.0118738102047702,0.00200569911502196,198.865955906207,4.45495013714171,1
87,206.90494890245,8.03899299624311,0.0149385597852378,4.8196825161757e-06,206.90494890245,5.20442398895673,1
88,206.814884651205,-0.0900642512447556,0.0158426687106188,0.0173357544964433,206.814884651205,5.14052530713213,1
89,212.068660716717,5.25377606551192,0.0108818318379313,5.68873961713032e-05,212.068660716717,3.35585481336401,1
90,213.719918303854,1.65125758713726,0.0225831126564704,0.00433163388825528,213.719918303854,3.16810292194012,1
91,216.205391028903,2.4854727250489,0.0211783355052817,0.00176386253050422,216.205391028903,3.43381328753963,1
92,217.598773553518,1.393382524615,0.0288164131968881,0.00715321998486721,217.598773553518,3.57293320998384,1
93,218.587185364859,0.988411811340926,0.0159777369931328,0.00594639113744465,218.587185364859,3.66026696628606,1
94,218.065040706009,-0.522144658850221,0.0260145366013314,0.0438511147630164,218.065040706009,3.42774943123071,1
95,219.724712098384,1.65967139237476,0.0232992654099862,0.00443155456555128,219.724712098384,3.58148345713875,1
96,219.914110996217,0.189398897833634,0.0332940987455876,0.0275494141004412,219.914110996217,2.07513614144098,1
97,221.784080289429,1.86996929321143,0.0226592278859778,0.0034924304153663,221.784080289429,2.08346585302018,1
98,220.289194683839,-1.49488560558948,0.00828281180713426,0.0369316204393093,220.289194683839,1.21674961648994,1
99,222.468542510548,2.17934782670883,0.0234723305955896,0.0026550791854351,222.468542510548,1.42305980539482,1
100,223.171772153401,0.703229642853256,0.0251104343538017,0.0124292656906615,223.171772153401,1.0093737669713,1
